"","variable","model","R.square","RMSE","N.tot"
"1","log..oc_usda.calc_wpct","mir_mlr..eml_kssl_na_v1",0.982,0.154,57400
"2","log..oc_usda.calc_wpct","mir_mlr..eml_kssl_ll_v1",0.962,0.18,14781
"3","log..oc_usda.calc_wpct","visnir_mlr..eml_ossl_na_v1",0.902,0.358,58072
"4","log..oc_usda.calc_wpct","mir_mlr..eml_ossl_ll_v1",0.952,0.19,17950
"5","log..oc_usda.calc_wpct","visnir.mir_mlr..eml_ossl_ll_v1",0.953,0.186,17855
"6","log..n.tot_usda.4h2_wpct","mir_mlr..eml_kssl_na_v1",0.932,0.0858,57728
"7","log..n.tot_usda.4h2_wpct","mir_mlr..eml_kssl_ll_v1",0.952,0.0573,15035
"8","log..n.tot_usda.4h2_wpct","visnir_mlr..eml_ossl_na_v1",0.851,0.126,58440
"9","log..n.tot_usda.4h2_wpct","mir_mlr..eml_ossl_ll_v1",0.933,0.0643,17395
"10","log..n.tot_usda.4h2_wpct","visnir.mir_mlr..eml_ossl_ll_v1",0.936,0.0614,17300
"11","silt.tot_usda.3a1_wpct","mir_mlr..eml_kssl_na_v1",0.873,8.13,36838
"12","silt.tot_usda.3a1_wpct","mir_mlr..eml_kssl_ll_v1",0.706,10.4,14398
"13","silt.tot_usda.3a1_wpct","visnir_mlr..eml_ossl_na_v1",0.715,12.2,37464
"14","silt.tot_usda.3a1_wpct","mir_mlr..eml_ossl_ll_v1",0.693,11,17560
"15","silt.tot_usda.3a1_wpct","visnir.mir_mlr..eml_ossl_ll_v1",0.753,9.82,17467
"16","clay.tot_usda.3a1_wpct","mir_mlr..eml_kssl_na_v1",0.876,4.91,36824
"17","clay.tot_usda.3a1_wpct","mir_mlr..eml_kssl_ll_v1",0.853,6.01,14388
"18","clay.tot_usda.3a1_wpct","visnir_mlr..eml_ossl_na_v1",0.733,7.25,37465
"19","clay.tot_usda.3a1_wpct","mir_mlr..eml_ossl_ll_v1",0.83,7.2,17545
"20","clay.tot_usda.3a1_wpct","visnir.mir_mlr..eml_ossl_ll_v1",0.843,6.91,17452
"21","sand.tot_usda.3a1_wpct","mir_mlr..eml_kssl_na_v1",0.897,9.85,36838
"22","sand.tot_usda.3a1_wpct","mir_mlr..eml_kssl_ll_v1",0.821,11.9,14398
"23","sand.tot_usda.3a1_wpct","visnir_mlr..eml_ossl_na_v1",0.732,15.9,37464
"24","sand.tot_usda.3a1_wpct","mir_mlr..eml_ossl_ll_v1",0.799,12.7,17508
"25","sand.tot_usda.3a1_wpct","visnir.mir_mlr..eml_ossl_ll_v1",0.834,11.5,17415
"26","log..ecec_usda.4b4_cmolkg","mir_mlr..eml_kssl_na_v1",0.861,0.273,5981
"27","log..ecec_usda.4b4_cmolkg","mir_mlr..eml_kssl_ll_v1",0.795,0.378,3085
"28","log..ecec_usda.4b4_cmolkg","visnir_mlr..eml_ossl_na_v1",0.573,0.482,6125
"29","log..ecec_usda.4b4_cmolkg","mir_mlr..eml_ossl_ll_v1",0.824,0.43,6090
"30","log..ecec_usda.4b4_cmolkg","visnir.mir_mlr..eml_ossl_ll_v1",0.837,0.413,6088
"31","ph.h2o_usda.4c1_index","mir_mlr..eml_kssl_na_v1",0.821,0.457,38013
"32","ph.h2o_usda.4c1_index","mir_mlr..eml_kssl_ll_v1",0.821,0.563,14838
"33","ph.h2o_usda.4c1_index","visnir_mlr..eml_ossl_na_v1",0.643,0.648,38672
"34","ph.h2o_usda.4c1_index","mir_mlr..eml_ossl_ll_v1",0.817,0.583,18039
"35","ph.h2o_usda.4c1_index","visnir.mir_mlr..eml_ossl_ll_v1",0.826,0.57,17950
"36","ph.cacl2_usda.4c1_index","mir_mlr..eml_kssl_na_v1",0.824,0.503,38013
"37","ph.cacl2_usda.4c1_index","mir_mlr..eml_kssl_ll_v1",0.85,0.558,14838
"38","ph.cacl2_usda.4c1_index","visnir_mlr..eml_ossl_na_v1",0.627,0.733,38672
"39","ph.cacl2_usda.4c1_index","mir_mlr..eml_ossl_ll_v1",0.848,0.561,14838
"40","ph.cacl2_usda.4c1_index","visnir.mir_mlr..eml_ossl_ll_v1",0.857,0.545,14749
"41","log..al.kcl_usda.4b3_cmolkg","mir_mlr..eml_kssl_na_v1",0.826,0.279,7818
"42","log..al.kcl_usda.4b3_cmolkg","mir_mlr..eml_kssl_ll_v1",0.817,0.314,4259
"43","log..al.kcl_usda.4b3_cmolkg","visnir_mlr..eml_ossl_na_v1",0.426,0.505,8028
"44","log..al.kcl_usda.4b3_cmolkg","mir_mlr..eml_ossl_ll_v1",0.801,0.328,5564
"45","log..al.kcl_usda.4b3_cmolkg","visnir.mir_mlr..eml_ossl_ll_v1",0.813,0.318,5557
"46","log..k.ext_usda.4b1_cmolkg","mir_mlr..eml_kssl_na_v1",0.624,0.296,42451
"47","log..k.ext_usda.4b1_cmolkg","mir_mlr..eml_kssl_ll_v1",0.587,0.208,14869
"48","log..k.ext_usda.4b1_cmolkg","visnir_mlr..eml_ossl_na_v1",0.721,0.255,43102
"49","log..k.ext_usda.4b1_cmolkg","mir_mlr..eml_ossl_ll_v1",0.568,0.21,18014
"50","log..k.ext_usda.4b1_cmolkg","visnir.mir_mlr..eml_ossl_ll_v1",0.588,0.206,17920
"51","log..caco3_usda.4e1_wpct","mir_mlr..eml_kssl_na_v1",0.953,0.252,20064
"52","log..caco3_usda.4e1_wpct","mir_mlr..eml_kssl_ll_v1",0.964,0.242,7516
"53","log..caco3_usda.4e1_wpct","visnir_mlr..eml_ossl_na_v1",0.614,0.725,20386
"54","log..caco3_usda.4e1_wpct","mir_mlr..eml_ossl_ll_v1",0.943,0.302,8508
"55","log..caco3_usda.4e1_wpct","visnir.mir_mlr..eml_ossl_ll_v1",0.95,0.283,8454
"56","log..mg.ext_usda.4b1_cmolkg","mir_mlr..eml_kssl_na_v1",0.817,0.377,42453
"57","log..mg.ext_usda.4b1_cmolkg","mir_mlr..eml_kssl_ll_v1",0.814,0.406,14869
"58","log..mg.ext_usda.4b1_cmolkg","visnir_mlr..eml_ossl_na_v1",0.702,0.48,43104
"59","log..mg.ext_usda.4b1_cmolkg","mir_mlr..eml_ossl_ll_v1",0.808,0.417,18014
"60","log..mg.ext_usda.4b1_cmolkg","visnir.mir_mlr..eml_ossl_ll_v1",0.827,0.395,17920
"61","log..ca.ext_usda.4b1_cmolkg","mir_mlr..eml_kssl_na_v1",0.916,0.335,42453
"62","log..ca.ext_usda.4b1_cmolkg","mir_mlr..eml_kssl_ll_v1",0.91,0.424,14869
"63","log..ca.ext_usda.4b1_cmolkg","visnir_mlr..eml_ossl_na_v1",0.692,0.642,43104
"64","log..ca.ext_usda.4b1_cmolkg","mir_mlr..eml_ossl_ll_v1",0.905,0.445,18007
"65","log..ca.ext_usda.4b1_cmolkg","visnir.mir_mlr..eml_ossl_ll_v1",0.915,0.419,17913
"66","log..gyp_usda.4e2_wpct","mir_mlr..eml_kssl_na_v1",0.866,0.373,3612
"67","log..gyp_usda.4e2_wpct","mir_mlr..eml_kssl_ll_v1",0.875,0.368,2954
"68","log..gyp_usda.4e2_wpct","visnir_mlr..eml_ossl_na_v1",0.71,0.534,3646
"69","log..gyp_usda.4e2_wpct","mir_mlr..eml_ossl_ll_v1",0.904,0.323,2954
"70","log..gyp_usda.4e2_wpct","visnir.mir_mlr..eml_ossl_ll_v1",0.882,0.347,2893
"71","log..cec.ext_usda.4b1_cmolkg","mir_mlr..eml_kssl_na_v1",0.948,0.191,42449
"72","log..cec.ext_usda.4b1_cmolkg","mir_mlr..eml_kssl_ll_v1",0.931,0.23,14868
"73","log..cec.ext_usda.4b1_cmolkg","visnir_mlr..eml_ossl_na_v1",0.764,0.404,43100
"74","log..cec.ext_usda.4b1_cmolkg","mir_mlr..eml_ossl_ll_v1",0.916,0.261,17999
"75","log..cec.ext_usda.4b1_cmolkg","visnir.mir_mlr..eml_ossl_ll_v1",0.925,0.245,17905
"76","bsat_usda.4b4_wpct","mir_mlr..eml_kssl_na_v1",0.801,12,42200
"77","bsat_usda.4b4_wpct","mir_mlr..eml_kssl_ll_v1",0.8,14.5,14737
"78","bsat_usda.4b4_wpct","visnir_mlr..eml_ossl_na_v1",0.581,17.6,42820
"79","bsat_usda.4b4_wpct","mir_mlr..eml_ossl_ll_v1",0.641,30.3,17705
"80","bsat_usda.4b4_wpct","visnir.mir_mlr..eml_ossl_ll_v1",0.621,31.2,17611
"81","bd.od_usda.3b2_gcm3","mir_mlr..eml_kssl_na_v1",0.667,0.165,7251
"82","bd.od_usda.3b2_gcm3","mir_mlr..eml_kssl_ll_v1",0.662,0.167,6364
"83","bd.od_usda.3b2_gcm3","visnir_mlr..eml_ossl_na_v1",0.532,0.197,7544
"84","bd.od_usda.3b2_gcm3","mir_mlr..eml_ossl_ll_v1",0.688,0.168,7217
"85","bd.od_usda.3b2_gcm3","visnir.mir_mlr..eml_ossl_ll_v1",0.707,0.163,7172
