soil_property,description,export_name,model_name,spectra_type,subset,geo
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",log..acidity_usda.a795_cmolc.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",log..acidity_usda.a795_cmolc.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",log..acidity_usda.a795_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",log..acidity_usda.a795_cmolc.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",log..acidity_usda.a795_cmolc.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
aggstb_usda.a1_w.pct,Aggregate Stability,log..aggstb_usda.a1_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
aggstb_usda.a1_w.pct,Aggregate Stability,log..aggstb_usda.a1_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
aggstb_usda.a1_w.pct,Aggregate Stability,log..aggstb_usda.a1_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
aggstb_usda.a1_w.pct,Aggregate Stability,log..aggstb_usda.a1_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
aggstb_usda.a1_w.pct,Aggregate Stability,log..aggstb_usda.a1_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",log..al.dith_usda.a65_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",log..al.dith_usda.a65_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",log..al.dith_usda.a65_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",log..al.dith_usda.a65_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",log..al.dith_usda.a65_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
al.ext_usda.a1056_mg.kg,"Aluminum, Extractable, Mehlich3",log..al.ext_usda.a1056_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
al.ext_usda.a1056_mg.kg,"Aluminum, Extractable, Mehlich3",log..al.ext_usda.a1056_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
al.ext_usda.a1056_mg.kg,"Aluminum, Extractable, Mehlich3",log..al.ext_usda.a1056_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
al.ext_usda.a1056_mg.kg,"Aluminum, Extractable, Mehlich3",log..al.ext_usda.a1056_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
al.ext_usda.a1056_mg.kg,"Aluminum, Extractable, Mehlich3",log..al.ext_usda.a1056_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
al.ext_usda.a69_cmolc.kg,"Aluminum, Extractable, KCl",log..al.ext_usda.a69_cmolc.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
al.ext_usda.a69_cmolc.kg,"Aluminum, Extractable, KCl",log..al.ext_usda.a69_cmolc.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
al.ext_usda.a69_cmolc.kg,"Aluminum, Extractable, KCl",log..al.ext_usda.a69_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
al.ext_usda.a69_cmolc.kg,"Aluminum, Extractable, KCl",log..al.ext_usda.a69_cmolc.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
al.ext_usda.a69_cmolc.kg,"Aluminum, Extractable, KCl",log..al.ext_usda.a69_cmolc.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
al.ox_usda.a59_w.pct,"Aluminum, Amorphous, Total Non-Crystalline Iron",log..al.ox_usda.a59_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
al.ox_usda.a59_w.pct,"Aluminum, Amorphous, Total Non-Crystalline Iron",log..al.ox_usda.a59_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
al.ox_usda.a59_w.pct,"Aluminum, Amorphous, Total Non-Crystalline Iron",log..al.ox_usda.a59_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
al.ox_usda.a59_w.pct,"Aluminum, Amorphous, Total Non-Crystalline Iron",log..al.ox_usda.a59_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
al.ox_usda.a59_w.pct,"Aluminum, Amorphous, Total Non-Crystalline Iron",log..al.ox_usda.a59_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
awc.33.1500kPa_usda.c80_w.frac,"Available Water Content, Difference 33-1500 kPa",log..awc.33.1500kPa_usda.c80_w.frac,mir_cubist_kssl_na_v1.2,mir,kssl,na
awc.33.1500kPa_usda.c80_w.frac,"Available Water Content, Difference 33-1500 kPa",log..awc.33.1500kPa_usda.c80_w.frac,mir_cubist_ossl_na_v1.2,mir,ossl,na
awc.33.1500kPa_usda.c80_w.frac,"Available Water Content, Difference 33-1500 kPa",log..awc.33.1500kPa_usda.c80_w.frac,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
awc.33.1500kPa_usda.c80_w.frac,"Available Water Content, Difference 33-1500 kPa",log..awc.33.1500kPa_usda.c80_w.frac,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
awc.33.1500kPa_usda.c80_w.frac,"Available Water Content, Difference 33-1500 kPa",log..awc.33.1500kPa_usda.c80_w.frac,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
b.ext_mel3_mg.kg,"Boron, Extractable, Mehlich3",log..b.ext_mel3_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
b.ext_mel3_mg.kg,"Boron, Extractable, Mehlich3",log..b.ext_mel3_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
b.ext_mel3_mg.kg,"Boron, Extractable, Mehlich3",log..b.ext_mel3_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
b.ext_mel3_mg.kg,"Boron, Extractable, Mehlich3",log..b.ext_mel3_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
b.ext_mel3_mg.kg,"Boron, Extractable, Mehlich3",log..b.ext_mel3_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,mir_cubist_kssl_na_v1.2,mir,kssl,na
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,mir_cubist_ossl_na_v1.2,mir,ossl,na
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
ca.ext_usda.a1059_mg.kg,"Calcium, Extractable, Mehlich3",log..ca.ext_usda.a1059_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
ca.ext_usda.a1059_mg.kg,"Calcium, Extractable, Mehlich3",log..ca.ext_usda.a1059_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
ca.ext_usda.a1059_mg.kg,"Calcium, Extractable, Mehlich3",log..ca.ext_usda.a1059_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
ca.ext_usda.a1059_mg.kg,"Calcium, Extractable, Mehlich3",log..ca.ext_usda.a1059_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
ca.ext_usda.a1059_mg.kg,"Calcium, Extractable, Mehlich3",log..ca.ext_usda.a1059_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
ca.ext_usda.a722_cmolc.kg,"Calcium, Extractable, NH4OAc",log..ca.ext_usda.a722_cmolc.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
ca.ext_usda.a722_cmolc.kg,"Calcium, Extractable, NH4OAc",log..ca.ext_usda.a722_cmolc.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
ca.ext_usda.a722_cmolc.kg,"Calcium, Extractable, NH4OAc",log..ca.ext_usda.a722_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
ca.ext_usda.a722_cmolc.kg,"Calcium, Extractable, NH4OAc",log..ca.ext_usda.a722_cmolc.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
ca.ext_usda.a722_cmolc.kg,"Calcium, Extractable, NH4OAc",log..ca.ext_usda.a722_cmolc.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
cec_usda.a723_cmolc.kg,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log..cec_usda.a723_cmolc.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
cec_usda.a723_cmolc.kg,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log..cec_usda.a723_cmolc.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
cec_usda.a723_cmolc.kg,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log..cec_usda.a723_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
cec_usda.a723_cmolc.kg,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log..cec_usda.a723_cmolc.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
cec_usda.a723_cmolc.kg,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log..cec_usda.a723_cmolc.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
cf_usda.c236_w.pct,"Coarse Fragments, Greater 2mm",log..cf_usda.c236_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
cf_usda.c236_w.pct,"Coarse Fragments, Greater 2mm",log..cf_usda.c236_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
cf_usda.c236_w.pct,"Coarse Fragments, Greater 2mm",log..cf_usda.c236_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
cf_usda.c236_w.pct,"Coarse Fragments, Greater 2mm",log..cf_usda.c236_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
cf_usda.c236_w.pct,"Coarse Fragments, Greater 2mm",log..cf_usda.c236_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
cu.ext_usda.a1063_mg.kg,"Copper, Extractable, Mehlich3",log..cu.ext_usda.a1063_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
cu.ext_usda.a1063_mg.kg,"Copper, Extractable, Mehlich3",log..cu.ext_usda.a1063_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
cu.ext_usda.a1063_mg.kg,"Copper, Extractable, Mehlich3",log..cu.ext_usda.a1063_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
cu.ext_usda.a1063_mg.kg,"Copper, Extractable, Mehlich3",log..cu.ext_usda.a1063_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
cu.ext_usda.a1063_mg.kg,"Copper, Extractable, Mehlich3",log..cu.ext_usda.a1063_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,mir_cubist_kssl_na_v1.2,mir,kssl,na
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,mir_cubist_ossl_na_v1.2,mir,ossl,na
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
efferv_usda.a479_class,"Effervescense, 1N HCl",efferv_usda.a479_class,mir_cubist_kssl_na_v1.2,mir,kssl,na
efferv_usda.a479_class,"Effervescense, 1N HCl",efferv_usda.a479_class,mir_cubist_ossl_na_v1.2,mir,ossl,na
efferv_usda.a479_class,"Effervescense, 1N HCl",efferv_usda.a479_class,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
efferv_usda.a479_class,"Effervescense, 1N HCl",efferv_usda.a479_class,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
efferv_usda.a479_class,"Effervescense, 1N HCl",efferv_usda.a479_class,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
